# This phoneme mapping csv file for language 'de-de' is created by Phoneme Bot of OpenVoice-Tech Wiki (https://OpenVoice-Tech.net).
# Based on revision #2313 of page 'Phoneme list German (de-de)'
# Provided automatically on Tue Mar 15 19:31:36 2022 and without any warranty!
# Feel free to improve this list on OpenVoice-Tech Wiki (https://openvoice-tech.net/index.php?title=Phoneme_list_German_%28de-de%29).

mycroft	mˈeɪkɹɒft
coqui	kˈəʊki
booten	bˈuːtən
timer	temp
johnson	temp
liveblog	temp
facebook	temp
tmp1	tmp3
